Index,x,Betas,Lower_Bound,Upper_Bound,Default,Desc
1,intercept,-4.91302961,1,1,1,intercept
2,mob*(mob==1),-0.18262485,0,1,1,MOB = 1
3,mob*(mob>1),-0.37485821,0,5,2,"MOB = 2,3,4,5"
4,gender_indicator,0.3643809,0,1,0,Gender
5,amt_lt_2000,1.61687366,0,1,1,Amount<=2000
6,amt_bt_2000_3000,1.23271818,0,1,0,"Amount Between 2000,3000"
7,feeratio_bt_2_4,-0.94451337,0,1,1,"Feeratio Between 2%,4%"
8,feeratio_bt_4_6,-0.50504046,0,1,0,"Feeratio Between 4%,6%"
9,feeratio_bt_6_8,-0.47405535,0,1,0,"Feeratio Between 6%,8%"
10,score_lt_590,0.45605398,0,1,0,Score <=590
,,,,,,
