Rule_Name|Lower_Bound|Upper_Bound|Label
Rule_16|1|1.01|Loan Age: 1-1
Rule_16|1.01|4.0099999999999998|Loan Age: 1-4
Rule_16|4.0099999999999998|7.0099999999999998|Loan Age: 4-7
Rule_16|7.0099999999999998|10.01|Loan Age:7-10
Rule_16|10.01|13.01|Loan Age:10-13
Rule_16|13.01|16.010000000000002|Loan Age:13-16
Rule_16|16.010000000000002|19.010000000000002|Loan Age:16-19
Rule_16|19.010000000000002|22.010000000000002|Loan Age:19-22
Rule_16|22.010000000000002|25.010000000000002|Loan Age:22-25
Rule_16|25.010000000000002|28.010000000000002|Loan Age:25-28
Rule_16|28.010000000000002|31.010000000000002|Loan Age:28-31
Rule_16|31.010000000000002|34.009999999999998|Loan Age:31-34
Rule_16|34.009999999999998|37.009999999999998|Loan Age:34-37
Rule_17|20|25|Borrower Age : 20 - 25
Rule_17|25|30|Borrower Age : 25 - 30
Rule_17|30|35|Borrower Age : 30 - 35
Rule_17|35|40|Borrower Age : 35 - 40
Rule_17|40|45|Borrower Age : 40 - 45
Rule_17|45|50|Borrower Age : 45 - 50
Rule_17|50|55|Borrower Age : 50 - 55
Rule_17|55|60|Borrower Age : 55 - 60
Rule_18|0|50000|Amt :   0, - 50,000
Rule_18|50000|100000|Amt :   50,000 - 100,000
Rule_18|100000|150000|Amt :  100,000 - 150,000
Rule_18|150000|200000|Amt :  150,000 - 200,000
Rule_18|200000|250000|Amt :  200,000 - 250,000
Rule_18|250000|300000|Amt :  250,000 - 300,000
Rule_18|300000|350000|Amt :  300,000 - 350,000
Rule_18|350000|400000|Amt :  350,000 - 400,000
Rule_18|400000|450000|Amt :  400,000 - 450,000
Rule_18|450000|500000|Amt :  450,000 - 500,000
Rule_18|500000|550000|Amt :  500,000 - 550,000
Rule_18|550000|600000|Amt :  550,000 - 600,000
Rule_18|600000||Amt :  >600,000
Rule_19|6|9|Term :   6 - 9
Rule_19|9|12|Term :   9 - 12
Rule_19|12|15|Term :  12 - 15
Rule_19|15|18|Term :  15 - 18
Rule_19|18|21|Term :  18 - 21
Rule_19|21|24|Term :  21 - 24
Rule_19|24|27|Term :  24 - 27
Rule_19|27|30|Term :  27 - 30
Rule_19|30|33|Term :  30 - 33
Rule_19|33|36.100000000000001|Term :  33 - 36
Rule_20|0.10000000000000001|0.11|Rate :  10% - 11%
Rule_20|0.11|0.12|Rate :  11% - 12%
Rule_20|0.12|0.13|Rate :  12% - 13%
Rule_20|0.13|0.14000000000000001|Rate :  13% - 14%
Rule_20|0.14000000000000001|0.14999999999999999|Rate :  14% - 15%
Rule_20|0.14999999999999999|0.16|Rate :  15% - 16%
Rule_20|0.16|0.17000000000000001|Rate :  16% - 17%
Rule_20|0.17000000000000001|0.17999999999999999|Rate :  17% - 18%
Rule_20|0.17999999999999999|0.19|Rate :  18% - 19%
Rule_20|0.19|0.20000000000000001|Rate :  19% - 20%
Rule_21|42186|42278|2015 3Q
Rule_21|42278|42370|2015 4Q
Rule_21|42370|42461|2016 1Q
Rule_21|42461|42552|2016 2Q
Rule_21|42552|42644|2016 3Q
Rule_21|42644|42736|2016 4Q
Rule_21|42736|42826|2017 1Q
Rule_21|42826|42917|2017 2Q
Rule_21|42917|43009|2017 3Q
Rule_22|0|30000|Loan Amt :   0, - 30,000
Rule_22|30000|60000|Loan Amt :   30,000 - 60,000
Rule_22|60000|90000|Loan Amt :   60,000 - 90,000
Rule_22|90000|120000|Loan Amt :   90,000 - 120,000
Rule_22|120000|150000|Loan Amt :  120,000 - 150,000
Rule_22|150000|180000|Loan Amt :  150,000 - 180,000
Rule_22|180000|210000|Loan Amt :  180,000 - 210,000
Rule_22|210000|240000|Loan Amt :  210,000 - 240,000
Rule_22|240000|270000|Loan Amt :  240,000 - 270,000
Rule_22|270000|300000|Loan Amt :  270,000 - 300,000
Rule_22|300000||Loan Amt :  >300,000
Rule_23|0|3|Remaining Term  0 - 3
Rule_23|3|6|Remaining Term  3 - 6
Rule_23|6|9|Remaining Term  6 - 9
Rule_23|9|12|Remaining Term  9 - 12
Rule_23|12|15|Remaining Term 12 - 15
Rule_23|15|18|Remaining Term 15 - 18
Rule_23|18|21|Remaining Term 18 - 21
Rule_23|21|24|Remaining Term 21 - 24
Rule_23|24|27|Remaining Term 24 - 27
Rule_23|27|30|Remaining Term 27 - 30
Rule_23|30|33|Remaining Term 30 - 33
Rule_23|33|36|Remaining Term 33 - 36
Rule_23|36|39|Remaining Term 36 - 39
Rule_1|1000|5000|1,000 - 5,000
Rule_1|5000|10000|5,000 - 10,000
Rule_1|10000|15000|10,000 - 15,000
Rule_1|15000|20000|15,000 - 20,000
Rule_1|20000|25000|20,000 - 25,000
Rule_1|25000||>=25,000
Rule_2|5|8|Term: 5 - 8
Rule_2|8|11|Term: 8 - 11
Rule_2|11|14|Term: 11 - 14
Rule_2|14|17|Term: 14 - 17
Rule_2|17|20|Term: 17 - 20
Rule_3|42736|42767|2017 M1
Rule_3|42767|42916|2017 H1
Rule_4|0.10000000000000001|0.14999999999999999|10% - 15%
Rule_4|0.14999999999999999|0.20000000000000001|15% - 20%
Rule_4|0.20000000000000001|0.25|20% - 25%
Rule_4|0.25|0.29999999999999999|25% - 30%
Rule_4|0.29999999999999999|0.34999999999999998|30% - 35%
Rule_4|0.34999999999999998||>=35%
Rule_5|0|30|Del:0-30
Rule_5|30||Del:30+
Rule_6|0|500|Score: <500
Rule_6|500|530|Score:500 - 530
Rule_6|530|560|Score:530 - 560
Rule_6|560|590|Score:560 - 590
Rule_6|590|620|Score:590 - 620
Rule_6|620|650|Score:620 - 650
Rule_6|650|680|Score:650 - 680
Rule_6|680|710|Score:680 - 710
Rule_7|42705|42736|Month: 16.12
Rule_7|42736|42767|Month: 17.01
Rule_7|42767|42795|Month: 17.02
Rule_7|42795|42826|Month: 17.03
Rule_7|42826|42856|Month: 17.04
Rule_7|42856|42887|Month: 17.05
Rule_8|0|30|Del:0-30
Rule_8|30||Del:30+
Rule_9||22|Borrower Age: <22
Rule_9|22|24|Borrower Age:22 -24
Rule_9|24|26|Borrower Age:24-26
Rule_9|26|28|Borrower Age:26-28
Rule_9|28|30|Borrower Age:28-30
Rule_9|30|35|Borrower Age:30-35
Rule_9|35||Borrower Age:>35
Rule_10|5|8|Term: 5-8
Rule_10|8|11|Term: 8-11
Rule_10|11|14|Term:11-14
Rule_10|14|17|Term:14-17
Rule_10|17|20|Term:17-20
Rule_10|20|23|Term:20-23
Rule_11||1000|Loan Amt: <1,000
Rule_11|1000|1500|Loan Amt:1,000-1,500
Rule_11|1500|2000|Loan Amt:1,500-2,000
Rule_11|2000|2500|Loan Amt:2,000-2,500
Rule_11|2500|3000|Loan Amt:2,500-3,000
Rule_11|3000|3500|Loan Amt:3,000-3,500
Rule_11|3500|4000|Loan Amt:3,500-4,000
Rule_11|4000|4500|Loan Amt:4,000-4,500
Rule_11|4500|5000|Loan Amt:4,500-5,000
Rule_11|5000|5500|Loan Amt:5,000-5,500
Rule_11|5500|6000|Loan Amt:5,500-6,000
Rule_11|6000|6500|Loan Amt:6,000-6,500
Rule_11|6500|7000|Loan Amt:6,500-7,000
Rule_11|7000|7500|Loan Amt:7,000-7,500
Rule_11|7500|8000|Loan Amt:7,500-8,000
Rule_11|8000|8500|Loan Amt:8,000-8,500
Rule_11|8500|9000|Loan Amt:8,500-9,000
Rule_11|9000|9500|Loan Amt:9,000-9,500
Rule_11|9500|10000|Loan Amt:9,500-10,000
Rule_11|10000||Loan Amt:>10,000
Rule_12|8.0000000000000002E-2|8.9999999999999997E-2|Int Rate: 8% - 9%
Rule_12|8.9999999999999997E-2|0.10000000000000001|Int Rate: 9% - 10%
Rule_12|0.10000000000000001|0.11|Int Rate:10% - 11%
Rule_12|0.11|0.12|Int Rate:11% - 12%
Rule_12|0.12|0.13|Int Rate:12% - 13%
