name|datatype|count|unique|mode|mean|std|min|25%|50%|75%|max|sum
放款金额|float|774.0|499|11974.700000000001|9287.879173126616|7974.800660004185|1061.02|3295.0825|8382.6|11985.86|49352.76|7188818.4800000004
客户编号|float|774.0|1|2.02e+19|2.02e+19|0.0|2.02e+19|2.02e+19|2.02e+19|2.02e+19|2.02e+19|1.5634800000000001e+22
已还本金|float|774.0|537|3592.4400000000001|2178.776472868217|2795.617361696422|0.0|380.38|1258.56|2917.08|22822.2|1686372.99
已还利息|float|774.0|608|417.00999999999999|220.26103359173123|206.36902498482286|0.0|50.2125|160.195|333.8|1519.96|170482.03999999998
期限|int|774.0|1|20|20.0|0.0|20.0|20.0|20.0|20.0|20.0|15480
过往一年内逾期次数|int|774.0|7|0|0.48578811369509045|1.0653569082006138|0.0|0.0|0.0|1.0|6.0|376
性别|string|774|2|F|||F||||M|
贷款状态|string|774|3|REPAYING|||EARLY_REPAYED||||REPAYING|
逾期天数|int|774.0|13|0|1.306201550387597|12.914007068580442|0.0|0.0|0.0|0.0|196.0|1011
客户评分|int|774.0|99|600|608.1136950904393|24.023759122378006|175.0|599.0|608.0|620.0|679.0|470680
未偿本金|float|774.0|487|0.0|7109.102700258398|6884.47321513852|0.0|1949.25|5867.82|9588.93|44417.48|5502445.4900000002
年龄|int|774.0|21|24|26.69638242894057|4.354838481832293|20.0|23.0|26.0|29.0|40.0|20663
省份|string|774|29|广东省|||安徽省||||重庆市|
借款编号|string|774|774|CS20161230883519|||CS20161208785976||||CS20170531124259|
放款日期|datetime|774|152|2017-05-24 00:00:00|||2016-12-08 00:00:00||||2017-05-31 00:00:00|
服务费|float|774.0|497|1974.7|1484.3908010335917|1246.607709530419|61.02|455.6725|1379.76|1974.7|9352.76|1148918.48
已还罚息|float|774.0|179|0.0|13.258178294573643|54.63438587048939|0.0|0.0|0.0|0.0|543.06|10261.83
城市|string|774|119|北京|||安庆||||淄博|
剩余期限|int|774.0|8|18|16.525839793281655|2.2104606077675455|0.0|15.0|17.0|18.0|19.0|12791
账龄|int|774.0|8|2|3.4741602067183464|2.2104606077675455|1.0|2.0|3.0|5.0|20.0|2689
产品名称|string|774|1|CASH_LOAN|||CASH_LOAN||||CASH_LOAN|
提前还款日期|datetime|78|60|2017-06-19 00:00:00|||2017-02-12 00:00:00||||2017-07-30 00:00:00|
客户成本|float|774.0|1|0.12|0.12000000000000004|4.1660284450132e-17|0.12|0.12|0.12|0.12|0.12|92.880000000000024
