性别,MOB,prepay_accum_rate
女,1,0.00846988827046
女,2,0.017377782941
女,3,0.0217506535687
女,4,0.0284489409122
女,5,0.0360179686257
女,6,0.0402014592061
女,7,0.0447475338958
女,8,0.0476793297771
女,9,0.0507802245654
女,10,0.0519549601342
女,11,0.0576464321064
女,12,0.0591518626866
女,13,0.0596109311397
女,14,0.0596109311397
女,15,0.0597302631047
女,16,0.0597302631047
女,17,0.0598112340814
女,18,0.0598805732442
女,19,0.0598805732442
女,20,0.0598805732442
女,21,0.059941470872
女,22,0.059941470872
女,23,0.059941470872
男,1,0.00483335077877
男,2,0.0126914053992
男,3,0.0178367257114
男,4,0.0261625722908
男,5,0.0315518424567
男,6,0.0352314534285
男,7,0.0378149623269
男,8,0.0427766530773
男,9,0.0447155624907
男,10,0.0464861531865
男,11,0.0477572446998
男,12,0.0486079001505
男,13,0.0487686604561
男,14,0.0496838238786
男,15,0.050275205461
男,16,0.050486509318
男,17,0.0506316879644
男,18,0.0508424204616
男,19,0.0509492913716
男,20,0.0510110950685
男,21,0.0510562809115
男,22,0.0510562809115
男,23,0.0510562809115
