车辆品牌,MOB,prepay_accum_rate
DS,1,0.0
DS,2,0.0
DS,3,0.0
DS,4,0.0
DS,5,0.0
DS,6,0.0
DS,7,0.0
DS,8,0.0
DS,9,0.0
DS,10,0.0
DS,11,0.0
Jeep,1,0.0
Jeep,2,0.0
Jeep,3,0.0
Jeep,4,0.00697540750873
Jeep,5,0.00697540750873
Jeep,6,0.00697540750873
Jeep,7,0.00697540750873
Jeep,8,0.00697540750873
Jeep,9,0.00697540750873
Jeep,10,0.00697540750873
Jeep,11,0.0201758024319
Jeep,12,0.0201758024319
Jeep,13,0.0201758024319
Jeep,14,0.0201758024319
Jeep,15,0.0201758024319
Jeep,16,0.0201758024319
MG,1,0.0
MG,2,0.0
MG,3,0.0215417129392
MG,4,0.0215417129392
MG,5,0.0215417129392
MG,6,0.0215417129392
MG,7,0.0377568316685
MG,8,0.0377568316685
MG,9,0.0525230183316
MG,10,0.0525230183316
MG,11,0.0525230183316
MG,12,0.0525230183316
MG,13,0.0525230183316
MG,14,0.0525230183316
MG,15,0.0525230183316
MINI,1,0.0
MINI,2,0.0677916858541
MINI,3,0.0677916858541
MINI,4,0.0677916858541
MINI,5,0.0677916858541
MINI,6,0.0677916858541
MINI,7,0.12909101889
MINI,8,0.12909101889
MINI,9,0.12909101889
MINI,10,0.12909101889
MINI,11,0.12909101889
MINI,12,0.12909101889
MINI,13,0.12909101889
MINI,14,0.12909101889
MINI,15,0.12909101889
MINI,16,0.12909101889
MINI,17,0.12909101889
MINI,18,0.12909101889
SWM斯威汽车,1,0.0
SWM斯威汽车,2,0.0
SWM斯威汽车,3,0.0
SWM斯威汽车,4,0.0
SWM斯威汽车,5,0.0
SWM斯威汽车,6,0.0
SWM斯威汽车,7,0.0
smart,1,0.0
smart,2,0.0
smart,3,0.0
smart,4,0.0
smart,5,0.0466148134491
smart,6,0.0466148134491
smart,7,0.0466148134491
smart,8,0.0466148134491
smart,9,0.0466148134491
smart,10,0.0466148134491
smart,11,0.07524390464
smart,12,0.07524390464
smart,13,0.07524390464
smart,14,0.07524390464
smart,15,0.0872100862164
smart,16,0.0872100862164
smart,17,0.0872100862164
smart,18,0.0872100862164
smart,19,0.0872100862164
smart,20,0.0872100862164
smart,21,0.0872100862164
smart,22,0.0872100862164
一汽,1,0.0
一汽,2,0.0
一汽,3,0.0
一汽,4,0.0
一汽,5,0.0
一汽,6,0.0
一汽,7,0.0
一汽,8,0.0
一汽,9,0.0
一汽,10,0.0
一汽,11,0.0
三菱,1,0.0
